Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:35:48,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:49,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:49,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:50,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:50,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:51,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:51,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:52,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:52,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:53,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:53,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:54,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:54,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:55,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:55,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:56,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:56,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:57,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:57,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:58,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:58,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:59,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:59,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:00,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:00,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:01,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:36:01,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:02,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:02,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:03,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:03,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:04,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:04,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:05,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:05,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:06,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:06,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:07,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:07,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:08,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:08,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:36:09,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:09,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:36:10,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:10,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:11,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:11,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:12,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:36:12,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:13,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:36:13,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
